Runtimes
2.9749
2.8371
2.7840
3.0235
2.5223
2.7620
3.1676
3.0892
3.3420
3.4009
3.1050
3.2063
2.4926
2.0817
3.7588
3.1859
3.6088
2.0874
2.8500
3.2635
