Runtimes
11.9686
0.0000
13.1158
0.0000
11.3632
8.4077
18.2127
12.5479
16.4684
8.3647
10.9692
13.9865
12.4704
18.9145
10.1720
5.7114
6.1422
0.0000
7.3789
9.6409
